2.035	-5.438
2.465	-5.428
2.848	-5.418
3.292	-5.431
3.738	-5.440
4.189	-5.417
4.634	-5.408
5.086	-5.424
5.534	-5.435
5.988	-5.428
6.442	-5.420
6.894	-5.411
7.345	-5.403
7.795	-5.395
8.240	-5.398
8.691	-5.431
9.136	-5.448
9.588	-5.440
10.038	-5.431
10.491	-5.422
10.938	-5.418
11.388	-5.449
11.833	-5.473
12.285	-5.466
12.736	-5.456
13.182	-5.458
13.635	-5.490
14.080	-5.503
14.554	-5.493
15.008	-5.483
15.455	-5.472
15.848	-5.463
16.176	-5.456
16.556	-5.447
16.893	-5.439
17.219	-5.418
17.547	-5.373
17.895	-5.317
18.208	-5.217
18.565	-5.030
18.839	-4.805
19.091	-4.524
19.242	-4.245
19.320	-3.945
19.377	-3.645
19.390	-3.318
19.399	-2.902
19.409	-2.477
19.416	-2.158
